Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
simple,,Canyon hunters,1,0,visible,"Canyon Hunters teaches readers all about canyons, and the scientists who go to extremes to study them!","Canyon Hunters teaches readers all about canyons, and the scientists who go to extremes to study them!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Canyon-hunters.jpg,,,,,,,,,0,Tác giả,Anita Ganeri,1,1,Nhà xuất bản,Raintree,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 034,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Cave crawlers,1,0,visible,"Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!","Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Cave-crawlers.jpg,,,,,,,,,0,Tác giả,Pam Rosenberg,1,1,Nhà xuất bản,Raintree,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 033,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Cave crawlers,1,0,visible,"Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!","Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Cave-crawlers.jpg,,,,,,,,,0,Tác giả,Pam Rosenberg,1,1,Nhà xuất bản,Raintree,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 032,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Cave crawlers,1,0,visible,"Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!","Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Cave-crawlers.jpg,,,,,,,,,0,Tác giả,Pam Rosenberg,1,1,Nhà xuất bản,Raintree,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 030,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Commercial fishermen,1,0,visible,"Learn what it's like to work as a commercial fisherman, including daily tasks, unique challenges, and the special gear and tools used. Readers will also learn about the history of commercial fishermen, safety methods, and required education and experience.","Learn what it's like to work as a commercial fisherman, including daily tasks, unique challenges, and the special gear and tools used. Readers will also learn about the history of commercial fishermen, safety methods, and required education and experience.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Commercial-fishermen.jpg,,,,,,,,,0,Tác giả,Sarah Tieck,1,1,Nhà xuất bản,Big Buddy Books,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 057,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Disease detectives,1,0,visible,"Disease investigators are the focus of this title in the exciting Connectors series, based on Reciprocal Reading. In small groups, students take turns to lead a group discussion: - They explicitly use comprehension strategies used in Reciprocal reading: predict, clarify, ask questions and summarise. - In addition they use other comprehension strategies: make connections, visualise and form opinions.","Disease investigators are the focus of this title in the exciting Connectors series, based on Reciprocal Reading. In small groups, students take turns to lead a group discussion: - They explicitly use comprehension strategies used in Reciprocal reading: predict, clarify, ask questions and summarise. - In addition they use other comprehension strategies: make connections, visualise and form opinions.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/disease-detectives.jpg,,,,,,,,,0,Tác giả,Brylee Gibson,1,1,Nhà xuất bản,Scholastic Academic,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 049,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Emergency 999: ambulance,1,0,visible,"Emergency 999! Ambulance explores all aspects of the ambulance service from the types of emergencies paramedics attend, what uniform they wear and the equipment they use to save lives.","Emergency 999! Ambulance explores all aspects of the ambulance service from the types of emergencies paramedics attend, what uniform they wear and the equipment they use to save lives.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Emergency-999-ambulance.jpg,,,,,,,,,0,Tác giả,Kathryn Walker,1,1,Nhà xuất bản,Hachette Children's Group,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 013,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Exploring the secrets of a hospital,1,0,visible,Where do the doctor's tools get cleaned? And where do they put patients who are dangerous? Behind the scenes of the hospital there's a whole world of activity that keeps people healthy. Let's go behind the double doors to examine the secrets of a hospital.,Where do the doctor's tools get cleaned? And where do they put patients who are dangerous? Behind the scenes of the hospital there's a whole world of activity that keeps people healthy. Let's go behind the double doors to examine the secrets of a hospital.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Exploring-the-secrets-of-a-hospital.jpg,,,,,,,,,0,Tác giả,Tammy Enz,1,1,Nhà xuất bản,Capstone Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 047,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Forensic scientist,1,0,visible,Learn about the job of forensic scientist.,Learn about the job of forensic scientist.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Forensic-scientist.jpg,,,,,,,,,0,Tác giả,Tim Clifford,1,1,Nhà xuất bản,Rourke Publishing,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 014,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Forensic scientist,1,0,visible,Learn about the job of forensic scientist.,Learn about the job of forensic scientist.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Nghề nghiệp, Sách tham khảo","10-12 tuổi,sach-thang-04-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Forensic-scientist.jpg,,,,,,,,,0,Tác giả,Tim Clifford,1,1,Nhà xuất bản,Rourke Publishing,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-2,1,1,Vị Trí Sách,Thứ tự 011,1,1,Giá trị sách,"500\,000đ",1,1
